"","Date","GRAND LARCENY","FELONY ASSAULT","ROBBERY","BURGLARY","GRAND LARCENY OF MOTOR VEHICLE","RAPE","MURDER"
"458",2007-04-03,98,30,38,47,25,3,2
"459",2007-04-04,88,32,47,57,31,0,4
"460",2007-04-05,120,32,37,60,24,1,1
"461",2007-04-06,104,40,50,59,33,2,2
"462",2007-04-07,130,52,53,31,31,0,5
"463",2007-04-08,64,50,31,31,18,2,0
"464",2007-04-09,115,34,39,51,18,3,1
"465",2007-04-10,113,38,49,36,30,4,0
"466",2007-04-11,101,37,55,65,37,3,1
"467",2007-04-12,100,32,37,55,29,2,1
"468",2007-04-13,128,50,45,84,26,4,0
"469",2007-04-14,113,45,48,47,42,4,0
"470",2007-04-15,93,46,43,34,33,2,1
"471",2007-04-16,114,40,60,49,32,2,1
"472",2007-04-17,127,33,49,57,25,3,2
"473",2007-04-18,92,34,62,59,25,4,4
"474",2007-04-19,101,48,67,47,33,1,0
"475",2007-04-20,143,46,51,72,25,3,2
"476",2007-04-21,107,58,46,43,32,3,2
"477",2007-04-22,93,72,45,29,27,6,3
"478",2007-04-23,100,46,31,67,40,1,2
"479",2007-04-24,119,49,56,50,38,4,0
"480",2007-04-25,122,48,61,63,36,1,0
"481",2007-04-26,122,46,39,67,40,7,0
"482",2007-04-27,147,54,62,82,36,6,1
"483",2007-04-28,121,64,52,48,23,1,1
"484",2007-04-29,91,52,61,38,36,1,0
"485",2007-04-30,120,48,66,62,33,1,0
"486",2007-05-01,176,31,46,58,37,13,2
"487",2007-05-02,136,55,57,57,29,2,1
"488",2007-05-03,129,52,67,49,39,3,0
"489",2007-05-04,140,57,61,58,49,4,3
"490",2007-05-05,109,69,54,57,50,4,2
"491",2007-05-06,91,64,44,34,23,1,3
"492",2007-05-07,139,51,66,68,37,4,2
"493",2007-05-08,117,30,65,45,31,2,2
"494",2007-05-09,125,46,46,75,28,1,0
"495",2007-05-10,110,42,55,55,39,3,3
"496",2007-05-11,127,66,68,65,38,2,0
"497",2007-05-12,134,66,58,52,41,4,1
"498",2007-05-13,92,56,45,42,37,2,1
"499",2007-05-14,105,50,60,62,33,1,2
"500",2007-05-15,141,47,63,59,39,3,3
"501",2007-05-16,128,44,41,75,48,3,3
"502",2007-05-17,137,64,69,59,50,1,3
"503",2007-05-18,128,53,61,60,50,2,4
"504",2007-05-19,107,48,56,55,38,2,0
"505",2007-05-20,112,73,58,43,44,3,2
"506",2007-05-21,130,36,53,70,37,1,0
"507",2007-05-22,130,44,53,53,41,5,1
"508",2007-05-23,140,50,52,75,42,2,0
"509",2007-05-24,134,53,52,65,32,1,3
"510",2007-05-25,152,58,58,79,48,1,1
"511",2007-05-26,106,72,53,46,35,2,3
"512",2007-05-27,93,73,59,53,37,5,3
"513",2007-05-28,84,60,63,69,40,2,2
"514",2007-05-29,120,86,56,60,32,2,5
"515",2007-05-30,104,59,60,62,52,2,0
"516",2007-05-31,136,42,67,74,29,6,2
"517",2007-06-01,182,55,86,81,38,25,3
"518",2007-06-02,140,71,67,48,38,2,2
"519",2007-06-03,101,69,68,45,37,6,3
"520",2007-06-04,121,34,53,60,35,7,0
"521",2007-06-05,141,50,48,67,35,2,0
"522",2007-06-06,138,42,64,64,39,4,4
"523",2007-06-07,124,41,38,60,38,2,4
"524",2007-06-08,137,49,79,86,33,4,1
"525",2007-06-09,119,58,55,51,32,5,4
"526",2007-06-10,98,68,69,46,31,3,1
"527",2007-06-11,125,51,61,57,33,2,3
"528",2007-06-12,127,59,64,62,27,5,0
"529",2007-06-13,129,48,67,90,44,2,0
"530",2007-06-14,128,46,62,74,35,3,0
"531",2007-06-15,166,45,67,65,53,2,0
"532",2007-06-16,125,67,56,48,31,5,2
"533",2007-06-17,86,73,47,33,38,2,0
"534",2007-06-18,128,58,64,65,44,2,3
"535",2007-06-19,106,44,66,66,40,4,0
"536",2007-06-20,142,34,62,54,41,6,3
"537",2007-06-21,119,54,64,59,36,2,0
"538",2007-06-22,152,45,49,73,45,1,1
"539",2007-06-23,124,89,69,56,40,0,1
"540",2007-06-24,97,78,47,46,39,5,3
"541",2007-06-25,143,34,62,68,36,5,0
"542",2007-06-26,106,71,67,56,35,3,2
"543",2007-06-27,123,44,50,68,41,5,2
"544",2007-06-28,106,39,55,68,42,4,1
"545",2007-06-29,133,51,53,75,37,6,1
"546",2007-06-30,112,78,62,64,41,5,2
"547",2007-07-01,158,68,64,41,42,21,0
"548",2007-07-02,126,47,70,64,35,3,0
"549",2007-07-03,118,51,73,61,50,3,2
"550",2007-07-04,78,54,45,54,42,4,1
"551",2007-07-05,128,58,58,61,38,3,1
"552",2007-07-06,141,49,52,70,37,3,2
"553",2007-07-07,126,72,60,54,35,1,0
"554",2007-07-08,100,75,52,45,34,5,4
"555",2007-07-09,131,36,55,69,41,4,2
"556",2007-07-10,118,49,57,49,43,2,0
"557",2007-07-11,116,35,58,61,44,1,3
"558",2007-07-12,119,48,48,83,45,2,2
"559",2007-07-13,128,41,69,74,42,3,1
"560",2007-07-14,109,65,52,64,40,1,3
"561",2007-07-15,105,57,46,43,26,10,0
"562",2007-07-16,131,45,48,94,34,5,1
"563",2007-07-17,113,39,45,66,29,2,2
"564",2007-07-18,143,37,60,60,36,5,4
"565",2007-07-19,140,57,67,68,28,1,3
"566",2007-07-20,150,41,68,97,44,5,1
